"Dialect","Coptic Form","Coptic Transcription","Number","Gender","Coptic Meaning (Crum)","Class","Subclass","Property Type","Literal Interpretation (Kilani 2026)","Vocalic Pattern","Interpretation (Kilani 2026)","Suffix","Distinctive Vowel","Root ID","Pre-Coptic Root","Root Type","TLA IS","TLA en","TLE de","TLA - date first attestation"
"S","ⲃⲉⲕⲉ","","1 | sg.","1 | m.","wage ","abstract","—","res/pass","work, what is worked (by someone)","cV'ccvy","cE'ccvy","","E","568","b.ꜣ.k","dyn","53800","to work; to render (services)","arbeiten; bearbeiten; (Abgaben) leisten; (Dienst) leisten","2321"
"S","ⲃⲉⲉⲕⲉ","","1 | sg.","2 | f.","wage ","abstract","—","res/pass","work, what is worked (by someone)","cV'ccv(y)t","cE'ccvyt","","E","568","b.ꜣ.k","dyn","53800","to work; to render (services)","arbeiten; bearbeiten; (Abgaben) leisten; (Dienst) leisten","2321"
"L","ⲃⲉϭⲥⲉ","","1 | sg.","2 | f.","rebellion","abstract "," from quality","qual","the state of being rebellious","cV'ccv(y)t","cE'ccvyt","","E","610","b.g.s","dyn","450143","to injure; to be injured; to be disloyal","schaden; illoyal sein","2321"
"S","ϩⲣⲱⲕⲉ","","1 | sg.","0 | –","[intr:] be still, cease | [tr:] quiet ; (as nn) quietness (Crum suggest ""sim"" to ϩⲣⲟⲕ )","abstract "," from quality","qual","the state of being quiet","cvcV'cvy","cvca:'cvy","","a","233","g.r.ḥ","dyn/res","167880","to complete; to be satisfied with","(etwas) fertig machen; aufhören; zufrieden sein (jur.)","1939"
"S","ϣⲡⲏⲣⲉ","","0 | –","3 | m./f.","wonder, amazement","abstract "," from quality","unclear","the happening one","cvcV'cvt","cvcE:'cvt","","E","13","ḫ.p.r","other","116230","to come into being; to become; to occur; to happen","werden; entstehen; geschehen; existieren","2532"
"S","ⲛⲟⲙⲧⲉ","","1 | sg.","2 | f.","strength, power; also encouragement, comfort ","abstract","—","unclear act/qual","the striding one?","cV'ccv(y)t","ca'c(a)cvt/ca'ccayt","+/- y","a","1187","n.m.t","mov","84490","to go; to stride through","schreiten; durchschreiten","2375"
"S","ⲟⲩⲁϣⲥⲉ","","1 | sg.","2 | f.","breadth ","abstract "," from quality","qual","the state of being wide","cV'ccv(y)t","ca'/E'ccv(y)t","+/- y","a/E","1761","w.s.ḫ","qual","49800","to be wide; to be broad","weit sein; breit sein; ausdehnen","2321"
"S","ⲟⲩⲟϣⲥⲉ","","1 | sg.","2 | f.","breadth ","abstract "," from quality","qual","the state of being wide","cV'ccv(y)t","ca'c(a)cvt","","a","1761","w.s.ḫ","qual","49800","to be wide; to be broad","weit sein; breit sein; ausdehnen","2321"
"S","ϩⲉⲗϭⲉ","","0 | –","2 | f.","sweetness ","abstract "," from quality","qual","the state of being sweet","cV'ccv(y)t","cE'ccvyt","","E","718","ḥ.ꜣ.g","qual","101610","to be glad","froh sein","1939"
"S","ⲛϣⲟⲧ","","0 | –","0 | –","hardness, boldness ","abstract "," from quality","qual","the state of being strong","cvcV'c","cvca:'c","","a","88","n.ḫ.t","dyn/res","87560","to be strong; to strengthen","stark sein; stärken; schützen","2375"
"L","ⲧⲙⲉⲧ","","1 | sg.","1 | m.","totality","abstract "," from quality","qual","what is assembled together","cvcV'c","cvcE:'c","","E","263","d.m.ḏ","dyn/res","179420","to (re)assemble; to be (re)assemled","zusammenfügen; (sich) vereinigen; vereinigt sein; zusammentreffen","2414"
"S","ϩⲗⲏϭⲉ","","1 | sg.","2 | f.","sweetness ","abstract "," from quality","qual","the state of being sweet","cvcV'cvt","cvcE:'cvt","","E","718","ḥ.ꜣ.g","qual","101610","to be glad","froh sein","1939"
"O","ϣⲁⲡϣⲓ","","1 | sg.","2 | f.","noble, distinguished","quality","—","qual","noble","cV'ccv(y)t","ca'c(a)cvt","","a","1868","š.p.s","qual","153910","to be noble; to be esteemed; to be rich","erhaben sein; herrlich sein","2613"
"B","ⲟⲩⲟⲃϣⲓ","","0 | –","0 | –","white","quality","—","qual","white","cV'cvc/cV'ccvt","ca'c(a)cvt","","a","1713","w.b.ḫ","qual","45270","to be bright, clear","leuchten; erhellen; hell sein","1539"
"S","ⲛⲟϥⲣⲉ","","1 | sg.","2 | f.","good, profit, advantage ","quality","—","qual","good","cV'cvc/cV'ccvt","ca'c(a)cvt","","a","728","n.f.r","qual","83470","to be good; to be beautiful; to be perfect","gut sein; schön sein; vollkommen sein; vollendet sein","2686"
"S","ϣⲟⲟⲙⲉ","","1 | sg.","2 | f.","light, fine","quality","—","qual","light, fine","cV'cvc/cV'ccvt","ca'c(a)cvt","","a","1922","š.m.ꜥ","qual","154710","to be slender","schmal sein","1190"
"Sa","ϩⲱⲗϭ","","0 | –","0 | –","sweet","quality","—","qual","sweet","cV'cvc","ca'cac","","a","718","ḥ.ꜣ.g","qual","101610","to be glad","froh sein","1939"
"S","ⲟⲩⲱⲃϣ","","1 | sg.","1 | m.","white","quality","—","qual","white","cV'cvc/cV'ccvt","ca'cac","","a","1713","w.b.ḫ","qual","45270","to be bright, clear","leuchten; erhellen; hell sein","1539"
"S","ⲛⲟⲩϥⲉ","","0 | –","0 | –","good","quality","—","qual","good","cV'cvc/cV'ccvt","ca'cac","","a","728","n.f.r","qual","83470","to be good; to be beautiful; to be perfect","gut sein; schön sein; vollkommen sein; vollendet sein","2686"
"S","ϣⲱⲱⲙⲉ","","1 | sg.","1 | m.","light, fine","quality","—","qual","light, fine","cV'cvc/cV'ccvt","ca'cac","","a","1922","š.m.ꜥ","qual","154710","to be slender","schmal sein","1190"
"S","ⲛⲟϥⲣ","","0 | –","0 | –","good","quality","—","qual","good","cV'ccvy","ca'ccvy","","a","728","n.f.r","qual","83470","to be good; to be beautiful; to be perfect","gut sein; schön sein; vollkommen sein; vollendet sein","2686"
"B","ϣⲟⲙ","","1 | sg.","1 | m.","light, fine","quality","—","qual","light, fine","cV'ccvy","ca'ccvy","","a","1922","š.m.ꜥ","qual","154710","to be slender","schmal sein","1190"
"S","ⲛⲉϣⲧⲉ","","1 | sg.","1 | m.","hard, rough person ","quality","—","res/pass","the strenghtened one","cV'ccvy","cE'ccvy","","E","88","n.ḫ.t","dyn/res","87560","to be strong; to strengthen","stark sein; stärken; schützen","2375"
"S","ⲕⲱϩⲧ","","1 | sg.","1 | m.","fire (nn), fiery (adj) ","concrete "," element","act","the smoke-making one","cV'cvc","ca'c:ac","","a","115","q.h.d","dyn","858172","to fumigate, smoke","räuchern","1539"
"B","ⲥⲟⲧⲡⲓ","","1 | sg.","2 | f.","elected; chosen; excellent (adj/noun)","quality","—","res/pass","the chosen one","cV'cvc/cV'ccvt","ca'c(E)cvt","","a","89","s.t.p","dyn","148050","to cut up","(Fleischstücke) auslösen; (Schlachttier) zerlegen; töten; vernichten","2613"
"S","ϣⲟⲣⲡ","","0 | –","0 | –","earliest, first (adj/noun)","quality","—","qual","the in-front one","cV'ccvy/-t","ca'ccvy","","a","14","ḫ.r.p","qual","120150","to be in front; to govern; to control; to administer","leiten; beaufsichtigen","2494"
"S","ϣⲟⲣⲡⲉ","","1 | sg.","2 | f.","earliest, first (adj/noun)","quality","—","qual","the in-front one","cV'ccvy/-t","ca'ccvyt","","a","14","ḫ.r.p","qual","120150","to be in front; to govern; to control; to administer","leiten; beaufsichtigen","2494"
"S","ⲥⲱⲧⲡ","","1 | sg.","1 | m.","elected; chosen; excellent (adj/noun)","quality","—","res/pass","the chosen one","cV'cvc/cV'ccvt","ca'cEc","","a","89","s.t.p","dyn","148050","to cut up","(Fleischstücke) auslösen; (Schlachttier) zerlegen; töten; vernichten","2613"
"S","ⲡⲉⲗϭⲉ","","1 | sg.","1 | m.","split, torn cloth, rag (f once); also as adj: worn, old ","quality","—","res/pass","the divided one","cV'ccvy","cE'ccvy","","E","1263","p.n.g","dyn","60150","to divide; to share (?)","teilen","1292"
"S","ⲱⲃⲧ","","1 | sg.","1 | m.","goose (or other edible bird)","concrete "," animal","act","the one rushing forward","cV'cvc","ca'c:ac","","a","1806","ꜣ.p.d","mov","110","to rush forward","herbeieilen","1425"
"S","ⲟⲩⲟⲟϩⲉ","","1 | sg.","2 | f.","scorpion ","concrete "," animal","act","the hunting one","cV'ccv(y)t","ca'ccayt","","a","84","w.ḥ.ꜥ","dyn","48800","to hunt, to fish and fowl","fischen und Vögel fangen","2445"
"S","ⲁϩⲱⲙ","","1 | sg.","1 | m.","eagle ","concrete "," animal","act","the one inspiring fear","cvcV'cvy","cac:a'cvy","","a","547","ꜥ.ẖ.m","dyn","40790","to cause to shudder; to inspire fear","Schauder erwecken; Ehrfurcht erwecken (von kämpferischen göttl. Wesen)","2375"
"S","ϣⲉⲛⲏⲧ","","1 | sg.","1 | m.","a fish: shark (?)","concrete "," animal","res/pass","the reviled one","cvcV'cvy","cvc:E'cvy","","E","1935","š.n.ṯ","dyn","156400","to revile; to oppose; to punish","streiten; kämpfen; schmähen","2375"
"B","ⲉⲧⲏϣⲓ","","1 | sg.","1 | m.","crane","concrete "," animal","qual","the red one (or the one that becomes red ?)","cvcV'cvy","cvc:E'cvy","","E","1100","d.š.r","qual","180690","to be red; to become red","rot werden; rot sein","2886"
"S","ⲡⲁⲓϭⲉ","","1 | sg.","2 | f.","mouth","concrete "," body part","unclear","the opened/openind one","cV'ccv(y)t","ca'/E'ccv(y)t","+/- y","a/E","1309","p.g.ꜣ","dyn","62730","to unfold; to open up","ausbreiten; öffnen","1980"
"S","ϣⲱⲡϣ","","1 | sg.","1 | m.","arm, foreleg (of animals) , shoulder (also as constellation); also: gizzard","concrete "," body part","act","the conquering one","cV'cvc","ca'c:ac","","a","475","ḫ.p.š","dyn","116470","to conquer","bezwingen; packen","2321"
"S","ϣⲱϥⲧ","","1 | sg.","1 | m.","hollow of hand, handful (also as measure)","concrete "," body part","res/pass","the grasped one","cV'cvc","ca'cEc","","a","3222","š.f.d","dyn","154280","to grasp; to sieze","fassen, packen; (jmdn.) verhaften","1292"
"S","ⲕⲱⲗⲙ","","1 | sg.","1 | m.","corner of eye ","concrete "," body part","res/pass","the wrapped one","cV'cvc","ca'cEc","","a","796","k.n.m","dyn","164780","to wrap in","einhüllen (in ein Gewand)","2321"
"B","ϭⲓⲱϯ","","1 | sg.","0 | –","tip of scorpion's tail","concrete "," body part","act","the stabbing one","cvcV'cvy","cac:a'cvy","","a","2464","ḏ.ꜣ.d","dyn","182290","to stab to death, cut up (a slaughtered offering)","(Schlachtopfer) abstechen","2375"
"S","ⲧⲁϭⲥⲉ","","1 | sg.","2 | f.","foot-sole, foot-print ","concrete "," body part","res/pass","the treaded-upon one","cV'ccvy","cE'ccvy","","E","461","d.g.s","dyn/mov","181250","to tread; to enter","treten; betreten","1548"
"S","ϩⲉⲧⲣⲉ","","1 | sg.","2 | f.","part of body: navel ?","concrete "," body part","res/pass","the one bound/binding itself together ?","cV'ccv(y)t","cE'ccvyt","","E","249","ḥ.t.r","dyn","111860","to bind together","binden; zusammenbinden","2321"
"S","ⲛⲁϩⲃ","","1 | sg.","2 | f.","shoulder, back, neck ","concrete "," body part","res/pass","the harnessed one","cV'ccv(y)t","cE'ccvyt","","a/E","457","n.ḥ.b","dyn","86140","to harness; to yoke; to appoint with","(Pferde) anschirren","1818"
"S","ⲁⲗⲟⲙ","","1 | sg.","1 | m.","bosom ","concrete "," body part","act","the enclosing one","cvcV'c","cvc:a:'c","","a","432","ꜥ.n.b","dyn","38390","to enclose, to close (the mouth)","(den Mund) verschließen; umschließen","1292"
"S","ϩⲃϩⲉ","","1 | sg.","1 | m.","space of the palm of the hand","concrete "," body part","res/pass","the grasped one","cvccV'y","cvccE'y","","E","2343","ḫ.f.ꜥ","dyn","116630","to seize; to grasp","fassen, packen","2375"
"S","ⲕⲗⲟⲟⲙⲉ","","1 | sg.","2 | f.","weal ","concrete "," disease","unclear","the wrapping one","cvcV'cyvt","cvca:'cyvt","","a","796","k.n.m","dyn","164780","to wrap in","einhüllen (in ein Gewand)","2321"
"F","ϫⲉⲛϯ","","1 | sg.","2 | f.","wrath ","state "," emotion","unclear","the state of being angry","cV'ccv(y)t","cE'ccvyt","","E","2581","q.n.d","emotion","161520","to rage; to be come angry","wütend sein, wütend werden","1980"
"S","ϣⲗⲟϥ","","1 | sg.","1 | m.","shame, disgrace; shameful (adj)","state "," emotion","qual","the state of being dishevelled","cvcV'c","cvca:'c","","a","1910","š.l.f","qual","156220","to be dishevelled (Sem. loan word)","in Unordnung geraten; sich sträuben","1292"
"S","ⲛⲟⲩⲧⲉ","","0 | –","3 | m./f.","god, goddess (also as adj: godly, divine)","concrete "," deity","unclear","the divine one? the one behaving divinely?","cV'cvc/-vt","ca'c:ac","","a","31","n.ṯ.r","dyn/res","90400","to be divine; to make divine; perhaps to behave divinely?","göttlich sein; göttlich machen","2345"
"O","ⲥⲁⲭⲙⲓ","","1 | sg.","2 | f.","Sekhmet (""the Powerful One"" or the like?)","concrete "," deity","qual","the powerful one","cV'ccv(y)t","ca'c(a)cvt","","a","1975","s.ḫ.m","qual","142160","to be mighty; to prevail over","mächtig sein","2445"
"S","ⲛⲧⲱⲣⲉ","","1 | sg.","2 | f.","god, goddess (also as adj: godly, divine)","concrete "," deity","unclear","the divine one? the one behaving divinely?","cV'cvc/-vt","cac:a'cvt","","a","31","n.ṯ.r","dyn/res","90400","to be divine; to make divine; perhaps to behave divinely?","göttlich sein; göttlich machen","2494"
"S","ⲁⲙⲟⲩⲛ","","1 | sg.","1 | m.","Amoun (""the hiding/hidden one"")","concrete "," deity","dyn/res","the hiding one","cvcV'cvy","cac:a'cvy","","a","300007","j.m.n","dyn/res","26030","to hide; to be hidden","verbergen; verborgen sein","2375"
"Sf","ϩⲱⲧⲃⲉ","","1 | sg.","1 | m.","murderer","concrete "," human","act","the killing one","cV'cvc","ca'c:ac","","a","2305","ẖ.d.b","dyn","124950","to kill","töten","1939"
"B","ⲃⲱⲕ","","1 | sg.","1 | m.","servant, slave ","concrete "," human","act","the working one","cV'cvc/-vt","ca'c:ac","","a","568","b.ꜣ.k","dyn","53800","to work; to render (services)","arbeiten; bearbeiten; (Abgaben) leisten; (Dienst) leisten","2321"
"S","ⲙⲟⲟⲛⲉ","","1 | sg.","2 | f.","nurse, foster-mother","concrete "," human","act","the nursing one","cV'ccv(y)t","ca'ccayt","","a","1070","m.n.ꜥ","dyn","70350","to nurse; to bring up (a child)","säugen; aufziehen","1292"
"S","ⲕⲟⲛϥ","","1 | sg.","1 | m.","a title or epiphet: baker ?","concrete "," human","act","the baking one","cV'ccvy","ca'ccvy","","a","824","q.f.n","dyn","160470","to bake; to clot (blood)","backen; gerinnen","2494"
"S","ⲥⲁϩⲧ","","0 | –","0 | –","weaver","concrete "," human","act","the weaving one","cV'ccvy","ca'ccvy","","a/E","335","s.ḫ.t","dyn","143060","to weave; to form (bricks, in a mould)","flechten; weben; (Ziegel) formen","2686"
"S","ⲟⲩⲟⲟϩⲉ","","1 | sg.","1 | m.","fisher ","concrete "," human","act","the hunting one","cV'ccvy","ca'ccvy","","a","84","w.ḥ.ꜥ","dyn","48800","to hunt, to fish and fowl","fischen und Vögel fangen","2445"
"B","ⲃⲱⲕⲓ","","1 | sg.","2 | f.","servant, slave ","concrete "," human","act","the working one","cV'cvc/-vt","cac:a'cvt","","a","568","b.ꜣ.k","dyn","53800","to work; to render (services)","arbeiten; bearbeiten; (Abgaben) leisten; (Dienst) leisten","2321"
"S","ⲥⲁⲛⲟⲩⲑ","","1 | sg.","1 | m.","fearful","concrete "," human","act","the fearing one","cvcV'cvy","cac:a'cvy","","a","1447","s.n.ḏ","emotion","138730","to fear; to be afraid","fürchten","2494"
"S","ⲙⲏⲏϣⲉ","","1 | sg.","1 | m.","multitude [persons or things], crowd, troop  | (+ gen [n-] as adj), many, great | (as adverb), greatly","concrete "," human","mov","the marching one","cV'cvc","cE'c:Ec","","E","138","m.š.ꜥ","mov","76330","to march","marschieren","1539"
"S","ϩⲏⲕⲉ","","0 | –","0 | –","poor, hungry (as nn) ","concrete "," human","qual","the hungry one (""hungried""? ""hungrying oneself""?)","cV'cvc","cE'c:Ec","","E","58","ḥ.q.r","qual","110540","to be hungry; to fast (med.)","hungern; fasten","2375"
"S","ⲟⲩⲏⲏⲃ","","1 | sg.","1 | m.","priest (Christian or pagan) ","concrete "," human","res/pass","the purified one","cV'cvc","cE'c:Ec","","E","381","w.ꜥ.b","qual","44430","to purify; to be pure","reinigen; rein sein; frei sein (unbenutzt sein)","2494"
"S","ϭⲉⲣⲏϭ","","1 | sg.","1 | m.","hunter ","concrete "," human","unclear","the hunting/laying down one","cvcV'cvy","cvc:E'cvy","","E","703","g.r.g","dyn/mov/postural","167980","to hunt; to lay (a trap)","jagen; (Fallen) einstellen","2445"
"S","ⲧⲉϣⲉ","","1 | sg.","1 | m.","neighbour","concrete "," human","res/pass","the one divided by a frontier","cvccV'y","cvccE'y","","E","236","t.ꜣ.š","dyn/mov/postural","169660","to fix the limits of; to divide","abgrenzen; teilen","2321"
"S","ⲙⲉⲥⲧⲉ","","1 | sg.","0 | –","hated person ","concrete "," human","res/pass","the hated one","cvccV'y/-t","cvccE'y","","E","78","m.s.ḏ","emot","76210","to hate; to dislike","hassen; verabscheuen","2375"
"S","ⲥⲣⲙⲉ","","1 | sg.","1 | m.","wanderer, vagrant","concrete "," human","act_mov","the one sliding away","cvccV'y/-t","cvccE'y","","E","345","z.b.n","mov","131760","to slide away; to steer (a ship) off course; to make fall","gleiten; straucheln; fehlleiten; umstürzen","2375"
"S","ⲣⲙⲛϩⲉ","","1 | sg.","1 | m.","free person ","concrete "," human","qual","the free one","cvccV'y/-t","cvccE'y","","E","1330","n.m.ḥ","qual","84350","to be poor","arm sein; elend sein; verwaist sein","2321"
"B","ⲃⲏⲧⲥⲏ","","1 | sg.","2 | f.","female warrior, rebel","concrete "," human","unclear","the disloyal one (?)","cvccV'yt","cvccE'yvt","","E","610","b.g.s","dyn/res","450143","to injure; to be injured; to be disloyal","schaden; illoyal sein","2321"
"S","ⲙⲉⲥⲧⲏ","","1 | sg.","2 | f.","hated person ","concrete "," human","res/pass","the hated one","cvccV'y/-t","cvccE'yvt","","E","78","m.s.ḏ","emot","76210","to hate; to dislike","hassen; verabscheuen","2375"
"S","ⲥⲉⲣⲙⲏ","","1 | sg.","2 | f.","wanderer, vagrant","concrete "," human","act_mov","the one sliding away","cvccV'y/-t","cvccE'yvt","","E","345","z.b.n","mov","131760","to slide away; to steer (a ship) off course; to make fall","gleiten; straucheln; fehlleiten; umstürzen","2375"
"S","ⲣⲙⲛϩⲏ","","1 | sg.","2 | f.","free person ","concrete "," human","qual","the free one","cvccV'y/-t","cvccE'yvt","","E","1330","n.m.ḥ","qual","84350","to be poor","arm sein; elend sein; verwaist sein","2321"
"S","ⲱⲥⲕ","","0 | –","0 | –","[intr:] delay, continue, become prolonged","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","1824","j.s.q","dyn","31730","to linger; to wait; to hold back","zögern; verweilen; zurückhalten","1920"
"B","ⲱϧⲧ","","0 | –","0 | –","[intr:] drip, trickle","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","1838","ꜥ.t.ḫ","dyn","41820","to sieve; to press","durchseihen; auspressen","2445"
"S","ⲟⲩⲱⲱⲧⲉ","","0 | –","0 | –","[intr:] [tr:] send, to separate, to differentiate","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","1751","w.ḏ.ꜥ","dyn","52360","to separate; to judge; to appoint","(ab)trennen; richten; zuweisen","2532"
"S","ⲡⲱϭⲥ","","0 | –","0 | –","[intr:] sweat, drip","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","1094","p.s.g","dyn","62340","to spit on; to spit at","speien; anspucken","2375"
"S","ⲡⲱⲧⲥ","","0 | –","0 | –","[tr:] divide, split, crack ","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","1296","p.d.s","dyn","63120","to destroy; to flatten","breitdrücken; zerstören","1580"
"S","ⲛⲟⲩϩⲃ","","0 | –","0 | –","[intr:] copulate, engender | [tr:] fertilize","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","1223","n.h.p","dyn","85460","to beget; to copulate","bespringen; begatten","2414"
"B","ⲛⲟⲩⲕⲉⲣ","","0 | –","0 | –","[tr:] prick, incise, (of unripe sycamore-figs) | (as noun), incision (of this fruit)","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","643","n.q.ꜥ","dyn","88990","to rip; to scratch","ritzen","1279"
"S","ϩⲱⲃⲕ","","0 | –","0 | –","[intr:] prick, incite, to stab","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","394","h.b.q","dyn","98220","to beat up; to triturate","zerstoßen; zerstampfen (im Mörser)","1818"
"S","ϩⲱϣϥ","","0 | –","0 | –","[tr:] break","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","464","ḫ.š.b","dyn","121160","to mutilate","verstümmeln","0"
"S","ⲥⲱⲃⲉ","","0 | –","0 | –","[intr:] laugh, play | [tr:] deride, mock","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","282","z.b.ṯ","dyn","132270","to laugh","lachen","2321"
"S","ϣⲱⲛⲧ","","0 | –","0 | –","[intr:] quarrel","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","1935","š.n.ṯ","dyn","156400","to revile; to oppose; to punish","streiten; kämpfen; schmähen","2375"
"Sf","ϣⲁⲛⲧ","","0 | –","0 | –","[intr:] quarrel","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","1935","š.n.ṯ","dyn","156400","to revile; to oppose; to punish","streiten; kämpfen; schmähen","2375"
"S","ϭⲱⲣⲙ","","0 | –","0 | –","[tr:] seize (or sim)","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","2608","g.r.m","dyn","167860","to carry off","fortschleppen","1548"
"S","ⲥⲱϩ","","0 | –","0 | –","[intr:] write | [tr:] register | draw, paint","action "," no direct object","dyn","","cV'cvc","ca'c(v)c","","a","40","z.ẖ.ꜣ","dyn","600375","to write; to paint; to work as a scribe","schreiben; malen","2613"
"S","ⲙⲟⲩϩ","","0 | –","0 | –","[intr:] [qual:] burn, glow","action "," no direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","1153","m.ꜣ.ẖ","dyn","67280","to burn up","verbrennen; brennen (vom Herzen, bildl. ""Angst haben"")","1939"
"S","ⲧⲱⲙⲛⲧ","","0 | –","0 | –","[intr:] meet, befall","action "," no direct object","dyn/rel","","cV'cvc","ca'c(v)c","","a","263","d.m.ḏ","dyn/res","179420","to (re)assemble; to be (re)assemled","zusammenfügen; (sich) vereinigen; vereinigt sein; zusammentreffen","2414"
"S","ⲛⲟⲩϣⲧ","","0 | –","0 | –","[intr:] be heavy, hard  | [tr:] make hard, oppress, do violence | (as nn), strength, violence","action "," no direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","88","n.ḫ.t","dyn/res","87560","to be strong; to strengthen","stark sein; stärken; schützen","2375"
"P","ϩⲱⲧⲙ","","0 | –","0 | –","[intr:] to perish","action "," no direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","300039","ḥ.t.m","dyn/res","111600","to destroy; to be destroyed","vernichten; vergehen","2375"
"S","ϩⲱⲣⲕ","","0 | –","0 | –","[intr:] sit down, be quiet [?] | sit in ambush","action "," no direct object","dyn/res","","cV'cvc","ca'c(v)c","","a","233","g.r.ḥ","dyn/res","167880","to complete; to be satisfied with","(etwas) fertig machen; aufhören; zufrieden sein (jur.)","1939"
"S","ϭⲱⲛⲧ","","0 | –","0 | –","[intr:] be wroth","action "," no direct object","emotion","","cV'cvc","ca'c(v)c","","a","2581","q.n.d","emotion","161520","to rage; to be come angry","wütend sein, wütend werden","1980"
"S","ⲕⲱϩ","","0 | –","0 | –","[intr:] be envious, zealous, emulate","action "," no direct object","emotion","","cV'cvc","ca'c(v)c","","a","264","k.h.ꜣ","emotion","165180","to rage furiously","stark wehen (Sturm); rasen","1539"
"S","ⲡⲱⲧ","","0 | –","0 | –","[intr:] run, flee, go  | depart","action "," no direct object","mov","","cV'cvc","ca'c(v)c","","a","347","p.ꜣ.d","mov","59440","to kneel; to run","knien; laufen","1213"
"S","ϣⲱⲡⲉ","","0 | –","0 | –","[intr:] become, befall  | (impersonal), befall","action "," no direct object","other","","cV'cvc","ca'c(v)c","","a","13","ḫ.p.r","other","116230","to come into being; to become; to occur; to happen","werden; entstehen; geschehen; existieren","2532"
"S","ⲱϩⲉ","","0 | –","0 | –","[intr:] stand, stay, wait","action "," no direct object","postural","","cV'cvc","ca'c(v)c","","a","148","ꜥ.ḥ.ꜥ","postural","40110","to stand; to stand up","stehen; aufstehen","3150"
"S","ⲥⲱϣⲙ","","0 | –","0 | –","[intr:] be faint, undone, disheartened","action "," no direct object","qual","","cV'cvc","ca'c(v)c","","a","1524","š.s.m","qual","157480","to be red; to be inflamed","entzündet sein (der Augen)","1580"
